COUNTRATE ANALYSIS: round_18.ttbin
Integration Time: 600 s
Hardware Deadtime: 900000 ps
=================================================================
Ch   | Raw (Hz)        | Deadtime (Hz)   | Gated (Hz)     
-----------------------------------------------------------------
1    | 10257.6         | 10143.1         | 8329.4         
2    | 521.1           | 520.7           | 481.5          
3    | 7.4             | 7.4             | 6.5            
4    | 0.3             | 0.3             | 0.0            
5    | 0.0             | 0.0             | 0.0            
6    | 0.0             | 0.0             | 0.0            
7    | 0.0             | 0.0             | 0.0            
8    | 0.0             | 0.0             | 0.0            
9    | 29549.5         | 28070.1         | 23138.0        
10   | 2501.5          | 2497.4          | 2225.3         
11   | 93.2            | 93.2            | 82.1           
12   | 4.9             | 4.9             | 4.8            
13   | 0.1             | 0.1             | 0.0            
14   | 0.0             | 0.0             | 0.0            
15   | 0.0             | 0.0             | 0.0            
16   | 0.0             | 0.0             | 0.0            
17   | 13016.8         | 12800.0         | 11434.9        
18   | 278.8           | 278.6           | 261.2          
19   | 4.1             | 4.1             | 0.0            
20   | 0.0             | 0.0             | 0.0            
21   | 0.0             | 0.0             | 0.0            
22   | 0.0             | 0.0             | 0.0            
23   | 0.0             | 0.0             | 0.0            
24   | 0.0             | 0.0             | 0.0            
25   | 13895.9         | 13792.0         | 12147.7        
26   | 367.2           | 367.1           | 340.8          
27   | 6.7             | 6.7             | 1.7            
28   | 0.2             | 0.2             | 0.0            
29   | 0.0             | 0.0             | 0.0            
30   | 0.0             | 0.0             | 0.0            
31   | 0.0             | 0.0             | 0.0            
32   | 0.0             | 0.0             | 0.0            
-----------------------------------------------------------------
SUM  | 70505.4         | 68586.0         | 58453.8        
=================================================================
