COUNTRATE ANALYSIS: round_26.ttbin
Integration Time: 600 s
Hardware Deadtime: 900000 ps
=================================================================
Ch   | Raw (Hz)        | Deadtime (Hz)   | Gated (Hz)     
-----------------------------------------------------------------
1    | 11572.6         | 11439.1         | 9438.0         
2    | 663.2           | 662.9           | 612.0          
3    | 11.8            | 11.8            | 10.0           
4    | 0.2             | 0.2             | 0.0            
5    | 0.0             | 0.0             | 0.0            
6    | 0.0             | 0.0             | 0.0            
7    | 0.0             | 0.0             | 0.0            
8    | 0.0             | 0.0             | 0.0            
9    | 32382.0         | 30785.4         | 25126.0        
10   | 3089.6          | 3084.9          | 2731.2         
11   | 124.5           | 124.5           | 118.2          
12   | 6.3             | 6.3             | 5.1            
13   | 0.7             | 0.7             | 0.0            
14   | 0.0             | 0.0             | 0.0            
15   | 0.0             | 0.0             | 0.0            
16   | 0.0             | 0.0             | 0.0            
17   | 15742.8         | 15480.9         | 13820.7        
18   | 413.4           | 413.2           | 386.6          
19   | 8.2             | 8.2             | 4.6            
20   | 0.1             | 0.1             | 0.0            
21   | 0.0             | 0.0             | 0.0            
22   | 0.0             | 0.0             | 0.0            
23   | 0.0             | 0.0             | 0.0            
24   | 0.0             | 0.0             | 0.0            
25   | 17653.0         | 17520.4         | 15487.0        
26   | 523.3           | 523.3           | 489.7          
27   | 11.3            | 11.3            | 10.5           
28   | 0.4             | 0.4             | 0.0            
29   | 0.0             | 0.0             | 0.0            
30   | 0.0             | 0.0             | 0.0            
31   | 0.0             | 0.0             | 0.0            
32   | 0.0             | 0.0             | 0.0            
-----------------------------------------------------------------
SUM  | 82203.6         | 80073.8         | 68239.7        
=================================================================
