COUNTRATE ANALYSIS: round_14.ttbin
Integration Time: 600 s
Hardware Deadtime: 900000 ps
=================================================================
Ch   | Raw (Hz)        | Deadtime (Hz)   | Gated (Hz)     
-----------------------------------------------------------------
1    | 10419.0         | 10305.7         | 8449.4         
2    | 562.6           | 562.5           | 525.4          
3    | 10.4            | 10.4            | 7.7            
4    | 0.1             | 0.1             | 0.0            
5    | 0.0             | 0.0             | 0.0            
6    | 0.0             | 0.0             | 0.0            
7    | 0.0             | 0.0             | 0.0            
8    | 0.0             | 0.0             | 0.0            
9    | 29953.7         | 28486.1         | 23479.1        
10   | 2559.0          | 2552.8          | 2267.1         
11   | 99.3            | 99.3            | 94.3           
12   | 4.8             | 4.8             | 4.3            
13   | 0.1             | 0.1             | 0.0            
14   | 0.0             | 0.0             | 0.0            
15   | 0.0             | 0.0             | 0.0            
16   | 0.0             | 0.0             | 0.0            
17   | 13411.2         | 13189.3         | 11745.1        
18   | 309.8           | 309.6           | 263.4          
19   | 4.2             | 4.2             | 2.4            
20   | 0.2             | 0.2             | 0.0            
21   | 0.0             | 0.0             | 0.0            
22   | 0.0             | 0.0             | 0.0            
23   | 0.0             | 0.0             | 0.0            
24   | 0.0             | 0.0             | 0.0            
25   | 14471.2         | 14371.3         | 12593.1        
26   | 429.7           | 429.7           | 402.0          
27   | 7.4             | 7.4             | 4.1            
28   | 0.2             | 0.2             | 0.0            
29   | 0.0             | 0.0             | 0.0            
30   | 0.0             | 0.0             | 0.0            
31   | 0.0             | 0.0             | 0.0            
32   | 0.0             | 0.0             | 0.0            
-----------------------------------------------------------------
SUM  | 72243.1         | 70333.8         | 59837.6        
=================================================================
